tempo,avg_pitch,pitch_std,pitch_range,avg_duration,avg_velocity,note_density,artist_norm,song_norm
111.72516621275186,54.80769230769231,10.816294607975198,48,0.6186030122956223,97.3047711781889,17.94349039926714,elton_john,candle_in_the_wind
125.0,61.08017849431409,13.971265111784291,60,0.21774147113862102,85.50295091406362,38.04490690032859,gerry_rafferty,baker_street
132.000132000132,56.49289428076256,14.940773940414314,56,0.46389061325823233,93.15615251299826,21.025279824451665,gerry_rafferty,right_down_the_line
130.00013000013,54.38862050456253,13.901907690750022,60,0.10066931177536229,75.14804079441761,42.30489612266507,2_unlimited,tribal_dance
140.00014000014,55.575815738963534,16.76256958148866,57,0.1169468755998081,77.97644390158786,25.69134813771381,2_unlimited,let_the_beat_control_your_body
125.0,56.09981546720349,16.649675669647042,72,0.18588648437063135,99.1620533467539,40.80640744797371,2_unlimited,get_ready_for_this
94.88964609285445,65.46600702202362,16.484152984980817,56,0.2130010035854876,111.41749122247047,18.76713798208204,2_unlimited,twilight_zone
80.0,56.94538541306602,13.486911258087753,64,0.6752154986173522,80.72554441755963,17.69418960244648,cat_stevens,wild_world
120.0,48.264896573016365,11.038660607833183,57,0.3919432437995284,88.10280950910774,19.279761904761905,cat_stevens,moonshadow
130.00013000013,51.84227941176471,12.878637947877769,46,0.22299468650735285,75.16985294117647,24.317471535682117,cat_stevens,another_saturday_night
130.00013000013,56.5596113118226,9.770126221644016,50,0.4054485121465055,77.40463435903824,32.86907767575537,cat_stevens,peace_train
75.0,57.74419706300331,13.204722365839139,62,0.6279362071687979,89.95736617716722,12.773295683743443,cat_stevens,father_and_son
160.0,57.94548413344182,10.551487442794212,44,1.1266781936533767,64.0,4.312280701754386,adele,hello
100.0,60.60569040347211,16.03339906691402,66,0.35261613888442345,65.40250763542839,22.644050522331014,adele,hometown_glory
64.3636775454877,61.973697782362045,10.54056381814483,62,0.6029319619004644,83.68024755028365,6.668348333334554,adele,someone_like_you
99.99999999999999,46.65182097411145,9.111787348776241,50,0.14891125493637575,93.45765686704695,22.841393134552742,everclear,everything_to_everyone
88.23529411764706,59.11678366305041,17.844424972799406,64,0.3652968118485428,75.94240587109125,27.03122304640331,everclear,i_will_buy_you_a_new_life
99.99999999999999,61.10769676764748,12.001322469656214,59,0.2648680968256269,94.08798376576316,35.51608751608752,everclear,santa_monica
97.9999836666694,58.4905850367536,14.330976501753147,61,0.18944392916121236,80.0,43.650782104130506,everclear,father_of_mine
139.0002177670078,50.881833409471604,14.13414545422877,74,0.1980255997760266,102.79488350845135,40.54250189100335,the_crystals,da_doo_ron_ron
87.00002175000543,56.87155172413793,10.595685844327983,73,0.16558800689206168,96.27586206896552,32.34616193269433,blur,country_house
77.99997660000703,53.24064711830131,10.343676037047837,57,0.33815478464658866,78.54932832587029,24.99971472230781,blur,tender
132.000132000132,53.159423712801136,14.335686277181017,57,0.20165580992412618,106.09329239489844,35.6135925055436,blur,song_2
85.49999162754486,52.96254432624114,13.926515843038558,53,0.23133996838407753,106.18439716312056,21.7994014687793,blur,charmless_man
135.000135000135,50.12052845528455,14.629166258259284,65,0.22996664747967469,101.60365853658537,25.33231618454449,george_benson,on_broadway
105.000105000105,47.503659347970725,16.177513763497263,74,0.19983293812375247,108.86072299844754,19.13693878588608,george_benson,turn_your_love_around
90.99995298335763,53.22579332790887,11.064756588635323,53,0.3483840174789801,64.03254678600489,20.438403182848415,george_benson,this_masquerade
112.00026880064512,56.4510025416549,15.270050951754648,71,0.21234618419937862,98.89960463146004,24.284298619094336,george_benson,give_me_the_night
135.000135000135,60.3775082359988,14.32627598325973,62,0.23320713371331242,119.95941898772088,42.14915457519008,a,a
126.00012600012602,52.96597123759368,15.168971207568203,79,0.43975074260684616,116.77861049220174,24.327830350513185,abc,poison_arrow
120.99994353335967,56.969480635373905,16.197270088074205,70,0.20734179534773045,77.74317330001784,26.92090788085112,abc,the_look_of_love
101.00006901671382,58.55853423336548,16.765847206957773,69,0.1712717353182254,93.4582449373192,18.292767844476078,brandy,best_friend
88.00002346667293,46.57117117117117,11.780571785840067,59,0.3640662419819819,81.39594594594594,7.536748277304652,brandy,i_wanna_be_down
92.82609528769171,58.12696670325649,16.73847256824182,57,0.18143929163871608,70.25039638980364,32.78714491347606,brandy,the_boy_is_mine
107.9999136000691,54.85742705570292,12.043707614962498,50,0.14219697739832016,83.0844827586207,30.399796488763993,average_white_band,cut_the_cake
107.9999136000691,56.81010549694614,10.561841789563026,56,0.14109167465991118,81.05607995558023,38.639784339842464,average_white_band,pick_up_the_pieces
138.00019320027047,53.404580152671755,14.223598487971397,50,0.19406199049656872,91.5558639833449,19.890800540294045,the_fixx,one_thing_leads_to_another
170.0000850000425,53.62461326916466,10.683371993760858,50,0.2819407928454795,83.2793056033001,41.6201184367214,dave_dudley,six_days_on_the_road
109.99990833340973,53.37197604790419,16.890739561119933,80,0.22351325104041925,107.15113772455089,21.561014896337355,5ive,if_ya_gettin_down
103.0000480666891,51.71461474036851,12.148336561716347,66,0.1468872808207707,56.4428391959799,21.776371384086197,5ive,slam_dunk_da_funk
78.6666712777827,56.03241091736164,11.873012843855532,56,0.6259687968394618,94.3718726307809,22.199885317458435,5ive,until_the_time_is_through
113.99995440001827,54.501177982437355,14.815212492846745,67,0.234216162343828,80.0663953737417,35.10988041515074,elmore_james,dust_my_broom
207.00005175001294,60.367696702155285,16.251155734381744,60,0.14149891025328934,73.9330044144378,39.54397962618217,the_bangles,walk_like_an_egyptian
132.000132000132,53.91000807102502,15.193119643561253,50,0.45864547404661066,89.58958837772397,16.93099942913925,the_bangles,hazy_shade_of_winter
116.00008506672903,61.02373417721519,13.764816182460743,50,0.5682504750193664,110.20886075949367,14.94686834054046,the_bangles,manic_monday
